timestamp,buyer,seller,symbol_trade,currency,price,quantity,day_trade,trade_notional,day_book,symbol_book,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss,spread,microprice,best_bid_notional,best_ask_notional,imbalance_l1,bid_depth_3,ask_depth_3,trade_vs_mid,trade_vs_bid,trade_vs_ask,trade_side_guess,day,symbol
18400,,,ASH_COATED_OSMIUM,XIRECS,10018.0,4,-2,40072.0,-2,ASH_COATED_OSMIUM,9999.0,11.0,9997.0,20.0,,,10018.0,20.0,,,,,10008.5,0.0,19.0,10005.741935483871,109989.0,200360.0,-0.2903225806451613,31.0,20.0,9.5,19.0,0.0,buy_aggressor,-2,ASH_COATED_OSMIUM
24000,,,ASH_COATED_OSMIUM,XIRECS,10013.0,6,-2,60078.0,-2,ASH_COATED_OSMIUM,9997.0,14.0,9994.0,24.0,,,10013.0,14.0,10015.0,24.0,,,10005.0,0.0,16.0,10005.0,139958.0,140182.0,0.0,38.0,38.0,8.0,16.0,0.0,buy_aggressor,-2,ASH_COATED_OSMIUM
28700,,,ASH_COATED_OSMIUM,XIRECS,10011.0,2,-2,20022.0,-2,ASH_COATED_OSMIUM,10000.0,4.0,9995.0,10.0,,,10011.0,10.0,10013.0,30.0,,,10005.5,0.0,11.0,10003.142857142857,40000.0,100110.0,-0.42857142857142855,14.0,40.0,5.5,11.0,0.0,buy_aggressor,-2,ASH_COATED_OSMIUM
28800,,,ASH_COATED_OSMIUM,XIRECS,10011.0,10,-2,100110.0,-2,ASH_COATED_OSMIUM,9995.0,12.0,9993.0,27.0,,,10011.0,12.0,10014.0,27.0,,,10003.0,0.0,16.0,10003.0,119940.0,120132.0,0.0,39.0,39.0,8.0,16.0,0.0,buy_aggressor,-2,ASH_COATED_OSMIUM
30700,,,ASH_COATED_OSMIUM,XIRECS,10012.0,6,-2,60072.0,-2,ASH_COATED_OSMIUM,9996.0,11.0,,,,,10012.0,11.0,10014.0,24.0,,,10004.0,0.0,16.0,10004.0,109956.0,110132.0,0.0,11.0,35.0,8.0,16.0,0.0,buy_aggressor,-2,ASH_COATED_OSMIUM
32400,,,ASH_COATED_OSMIUM,XIRECS,10005.0,4,-2,40020.0,-2,ASH_COATED_OSMIUM,10005.0,10.0,9996.0,10.0,9993.0,30.0,10012.0,10.0,,,,,10008.5,0.0,7.0,10008.5,100050.0,100120.0,0.0,50.0,10.0,-3.5,0.0,-7.0,sell_aggressor,-2,ASH_COATED_OSMIUM
33000,,,ASH_COATED_OSMIUM,XIRECS,10013.0,9,-2,90117.0,-2,ASH_COATED_OSMIUM,9997.0,13.0,,,,,10013.0,13.0,10015.0,26.0,,,10005.0,0.0,16.0,10005.0,129961.0,130169.0,0.0,13.0,39.0,8.0,16.0,0.0,buy_aggressor,-2,ASH_COATED_OSMIUM
36600,,,ASH_COATED_OSMIUM,XIRECS,9997.0,6,-2,59982.0,-2,ASH_COATED_OSMIUM,9997.0,15.0,9994.0,29.0,,,10015.0,29.0,,,,,10006.0,0.0,18.0,10003.136363636364,149955.0,290435.0,-0.3181818181818182,44.0,29.0,-9.0,0.0,-18.0,sell_aggressor,-2,ASH_COATED_OSMIUM
36700,,,ASH_COATED_OSMIUM,XIRECS,10012.0,10,-2,100120.0,-2,ASH_COATED_OSMIUM,9996.0,14.0,9994.0,30.0,,,10012.0,14.0,10015.0,30.0,,,10004.0,0.0,16.0,10004.0,139944.0,140168.0,0.0,44.0,44.0,8.0,16.0,0.0,buy_aggressor,-2,ASH_COATED_OSMIUM
40500,,,ASH_COATED_OSMIUM,XIRECS,9997.0,2,-2,19994.0,-2,ASH_COATED_OSMIUM,9997.0,14.0,9994.0,29.0,,,10013.0,14.0,,,,,10005.0,0.0,16.0,10005.0,139958.0,140182.0,0.0,43.0,14.0,-8.0,0.0,-16.0,sell_aggressor,-2,ASH_COATED_OSMIUM
42000,,,ASH_COATED_OSMIUM,XIRECS,10006.0,4,-2,40024.0,-2,ASH_COATED_OSMIUM,9996.0,11.0,9994.0,20.0,,,10006.0,4.0,10012.0,11.0,,,10001.0,0.0,10.0,10003.333333333334,109956.0,40024.0,0.4666666666666667,31.0,15.0,5.0,10.0,0.0,buy_aggressor,-2,ASH_COATED_OSMIUM
44200,,,ASH_COATED_OSMIUM,XIRECS,10014.0,2,-2,20028.0,-2,ASH_COATED_OSMIUM,9995.0,12.0,,,,,10014.0,26.0,,,,,10004.5,0.0,19.0,10001.0,119940.0,260364.0,-0.3684210526315789,12.0,26.0,9.5,19.0,0.0,buy_aggressor,-2,ASH_COATED_OSMIUM
45600,,,ASH_COATED_OSMIUM,XIRECS,10011.0,4,-2,40044.0,-2,ASH_COATED_OSMIUM,9995.0,12.0,9992.0,27.0,,,10011.0,12.0,10013.0,27.0,,,10003.0,0.0,16.0,10003.0,119940.0,120132.0,0.0,39.0,39.0,8.0,16.0,0.0,buy_aggressor,-2,ASH_COATED_OSMIUM
48000,,,ASH_COATED_OSMIUM,XIRECS,10014.0,10,-2,100140.0,-2,ASH_COATED_OSMIUM,9998.0,13.0,9995.0,28.0,,,10014.0,13.0,10016.0,28.0,,,10006.0,0.0,16.0,10006.0,129974.0,130182.0,0.0,41.0,41.0,8.0,16.0,0.0,buy_aggressor,-2,ASH_COATED_OSMIUM
50000,,,ASH_COATED_OSMIUM,XIRECS,10008.0,3,-2,30024.0,-2,ASH_COATED_OSMIUM,10008.0,3.0,9998.0,10.0,,,10014.0,10.0,10017.0,27.0,,,10011.0,0.0,6.0,10009.384615384615,30024.0,100140.0,-0.5384615384615384,13.0,37.0,-3.0,0.0,-6.0,sell_aggressor,-2,ASH_COATED_OSMIUM
50800,,,ASH_COATED_OSMIUM,XIRECS,10015.0,5,-2,50075.0,-2,ASH_COATED_OSMIUM,9999.0,13.0,9997.0,30.0,,,10015.0,13.0,,,,,10007.0,0.0,16.0,10007.0,129987.0,130195.0,0.0,43.0,13.0,8.0,16.0,0.0,buy_aggressor,-2,ASH_COATED_OSMIUM
51400,,,ASH_COATED_OSMIUM,XIRECS,10018.0,8,-2,80144.0,-2,ASH_COATED_OSMIUM,10000.0,15.0,9997.0,20.0,,,10018.0,20.0,,,,,10009.0,0.0,18.0,10007.714285714286,150000.0,200360.0,-0.14285714285714285,35.0,20.0,9.0,18.0,0.0,buy_aggressor,-2,ASH_COATED_OSMIUM
53800,,,ASH_COATED_OSMIUM,XIRECS,9999.0,10,-2,99990.0,-2,ASH_COATED_OSMIUM,9999.0,10.0,,,,,10017.0,24.0,,,,,10008.0,0.0,18.0,10004.29411764706,99990.0,240408.0,-0.4117647058823529,10.0,24.0,-9.0,0.0,-18.0,sell_aggressor,-2,ASH_COATED_OSMIUM
55900,,,ASH_COATED_OSMIUM,XIRECS,10013.0,6,-2,60078.0,-2,ASH_COATED_OSMIUM,9995.0,26.0,,,,,10013.0,14.0,10016.0,26.0,,,10004.0,0.0,18.0,10006.7,259870.0,140182.0,0.3,26.0,40.0,9.0,18.0,0.0,buy_aggressor,-2,ASH_COATED_OSMIUM
57600,,,ASH_COATED_OSMIUM,XIRECS,9998.0,6,-2,59988.0,-2,ASH_COATED_OSMIUM,9998.0,13.0,9996.0,30.0,,,10014.0,13.0,,,,,10006.0,0.0,16.0,10006.0,129974.0,130182.0,0.0,43.0,13.0,-8.0,0.0,-16.0,sell_aggressor,-2,ASH_COATED_OSMIUM
67300,,,ASH_COATED_OSMIUM,XIRECS,9989.0,8,-2,79912.0,-2,ASH_COATED_OSMIUM,9989.0,10.0,9986.0,26.0,,,10005.0,10.0,10007.0,26.0,,,9997.0,0.0,16.0,9997.0,99890.0,100050.0,0.0,36.0,36.0,-8.0,0.0,-16.0,sell_aggressor,-2,ASH_COATED_OSMIUM
69400,,,ASH_COATED_OSMIUM,XIRECS,9987.0,5,-2,49935.0,-2,ASH_COATED_OSMIUM,9987.0,15.0,9985.0,20.0,,,10003.0,15.0,10006.0,20.0,,,9995.0,0.0,16.0,9995.0,149805.0,150045.0,0.0,35.0,35.0,-8.0,0.0,-16.0,sell_aggressor,-2,ASH_COATED_OSMIUM
71700,,,ASH_COATED_OSMIUM,XIRECS,9990.0,8,-2,79920.0,-2,ASH_COATED_OSMIUM,9990.0,14.0,9987.0,20.0,,,10006.0,14.0,10008.0,20.0,,,9998.0,0.0,16.0,9998.0,139860.0,140084.0,0.0,34.0,34.0,-8.0,0.0,-16.0,sell_aggressor,-2,ASH_COATED_OSMIUM
72900,,,ASH_COATED_OSMIUM,XIRECS,9990.0,9,-2,89910.0,-2,ASH_COATED_OSMIUM,9990.0,15.0,9988.0,23.0,,,10006.0,15.0,10009.0,23.0,,,9998.0,0.0,16.0,9998.0,149850.0,150090.0,0.0,38.0,38.0,-8.0,0.0,-16.0,sell_aggressor,-2,ASH_COATED_OSMIUM
73900,,,ASH_COATED_OSMIUM,XIRECS,9991.0,7,-2,69937.0,-2,ASH_COATED_OSMIUM,9991.0,13.0,9988.0,26.0,,,10007.0,13.0,10009.0,26.0,,,9999.0,0.0,16.0,9999.0,129883.0,130091.0,0.0,39.0,39.0,-8.0,0.0,-16.0,sell_aggressor,-2,ASH_COATED_OSMIUM
74500,,,ASH_COATED_OSMIUM,XIRECS,10007.0,9,-2,90063.0,-2,ASH_COATED_OSMIUM,9991.0,15.0,,,,,10007.0,15.0,10009.0,22.0,,,9999.0,0.0,16.0,9999.0,149865.0,150105.0,0.0,15.0,37.0,8.0,16.0,0.0,buy_aggressor,-2,ASH_COATED_OSMIUM
76000,,,ASH_COATED_OSMIUM,XIRECS,10008.0,7,-2,70056.0,-2,ASH_COATED_OSMIUM,,,,,,,10008.0,15.0,10010.0,21.0,,,10008.0,0.0,,,,150120.0,,0.0,36.0,0.0,,0.0,buy_aggressor,-2,ASH_COATED_OSMIUM
79600,,,ASH_COATED_OSMIUM,XIRECS,10008.0,6,-2,60048.0,-2,ASH_COATED_OSMIUM,9992.0,11.0,,,,,10008.0,11.0,,,,,10000.0,0.0,16.0,10000.0,109912.0,110088.0,0.0,11.0,11.0,8.0,16.0,0.0,buy_aggressor,-2,ASH_COATED_OSMIUM
81200,,,ASH_COATED_OSMIUM,XIRECS,9991.0,6,-2,59946.0,-2,ASH_COATED_OSMIUM,9991.0,11.0,,,,,10007.0,11.0,10010.0,26.0,,,9999.0,0.0,16.0,9999.0,109901.0,110077.0,0.0,11.0,37.0,-8.0,0.0,-16.0,sell_aggressor,-2,ASH_COATED_OSMIUM
84600,,,ASH_COATED_OSMIUM,XIRECS,9990.0,2,-2,19980.0,-2,ASH_COATED_OSMIUM,9990.0,11.0,9988.0,26.0,,,10006.0,11.0,,,,,9998.0,0.0,16.0,9998.0,109890.0,110066.0,0.0,37.0,11.0,-8.0,0.0,-16.0,sell_aggressor,-2,ASH_COATED_OSMIUM
86100,,,ASH_COATED_OSMIUM,XIRECS,10007.0,6,-2,60042.0,-2,ASH_COATED_OSMIUM,9991.0,15.0,,,,,10007.0,15.0,10009.0,20.0,,,9999.0,0.0,16.0,9999.0,149865.0,150105.0,0.0,15.0,35.0,8.0,16.0,0.0,buy_aggressor,-2,ASH_COATED_OSMIUM
86200,,,ASH_COATED_OSMIUM,XIRECS,9991.0,4,-2,39964.0,-2,ASH_COATED_OSMIUM,9991.0,14.0,9989.0,28.0,,,10010.0,28.0,,,,,10000.5,0.0,19.0,9997.333333333334,139874.0,280280.0,-0.3333333333333333,42.0,28.0,-9.5,0.0,-19.0,sell_aggressor,-2,ASH_COATED_OSMIUM
94000,,,ASH_COATED_OSMIUM,XIRECS,10004.0,8,-2,80032.0,-2,ASH_COATED_OSMIUM,9988.0,13.0,9986.0,28.0,,,10004.0,13.0,10007.0,28.0,,,9996.0,0.0,16.0,9996.0,129844.0,130052.0,0.0,41.0,41.0,8.0,16.0,0.0,buy_aggressor,-2,ASH_COATED_OSMIUM
94400,,,ASH_COATED_OSMIUM,XIRECS,10004.0,3,-2,30012.0,-2,ASH_COATED_OSMIUM,9988.0,14.0,,,,,10004.0,14.0,,,,,9996.0,0.0,16.0,9996.0,139832.0,140056.0,0.0,14.0,14.0,8.0,16.0,0.0,buy_aggressor,-2,ASH_COATED_OSMIUM
96300,,,ASH_COATED_OSMIUM,XIRECS,10006.0,8,-2,80048.0,-2,ASH_COATED_OSMIUM,9990.0,10.0,9987.0,24.0,,,10006.0,10.0,,,,,9998.0,0.0,16.0,9998.0,99900.0,100060.0,0.0,34.0,10.0,8.0,16.0,0.0,buy_aggressor,-2,ASH_COATED_OSMIUM
97200,,,ASH_COATED_OSMIUM,XIRECS,9994.0,4,-2,39976.0,-2,ASH_COATED_OSMIUM,9989.0,14.0,9986.0,22.0,,,9994.0,3.0,10005.0,14.0,10007.0,22.0,9991.5,0.0,5.0,9993.117647058823,139846.0,29982.0,0.6470588235294118,36.0,39.0,2.5,5.0,0.0,buy_aggressor,-2,ASH_COATED_OSMIUM
97600,,,ASH_COATED_OSMIUM,XIRECS,9999.0,3,-2,29997.0,-2,ASH_COATED_OSMIUM,9987.0,30.0,,,,,9999.0,3.0,10005.0,15.0,10008.0,30.0,9993.0,0.0,12.0,9997.90909090909,299610.0,29997.0,0.8181818181818182,30.0,48.0,6.0,12.0,0.0,buy_aggressor,-2,ASH_COATED_OSMIUM
98200,,,ASH_COATED_OSMIUM,XIRECS,9990.0,3,-2,29970.0,-2,ASH_COATED_OSMIUM,9990.0,10.0,9987.0,26.0,,,10006.0,10.0,10008.0,26.0,,,9998.0,0.0,16.0,9998.0,99900.0,100060.0,0.0,36.0,36.0,-8.0,0.0,-16.0,sell_aggressor,-2,ASH_COATED_OSMIUM
100100,,,ASH_COATED_OSMIUM,XIRECS,9993.0,3,-2,29979.0,-2,ASH_COATED_OSMIUM,9993.0,3.0,9987.0,13.0,,,10003.0,13.0,10006.0,26.0,,,9998.0,0.0,10.0,9994.875,29979.0,130039.0,-0.625,16.0,39.0,-5.0,0.0,-10.0,sell_aggressor,-2,ASH_COATED_OSMIUM
101700,,,ASH_COATED_OSMIUM,XIRECS,10001.0,5,-2,50005.0,-2,ASH_COATED_OSMIUM,9985.0,12.0,,,,,10001.0,12.0,10004.0,22.0,,,9993.0,0.0,16.0,9993.0,119820.0,120012.0,0.0,12.0,34.0,8.0,16.0,0.0,buy_aggressor,-2,ASH_COATED_OSMIUM
103900,,,ASH_COATED_OSMIUM,XIRECS,10004.0,4,-2,40016.0,-2,ASH_COATED_OSMIUM,9988.0,13.0,,,,,10004.0,13.0,10006.0,22.0,,,9996.0,0.0,16.0,9996.0,129844.0,130052.0,0.0,13.0,35.0,8.0,16.0,0.0,buy_aggressor,-2,ASH_COATED_OSMIUM
105100,,,ASH_COATED_OSMIUM,XIRECS,9990.0,8,-2,79920.0,-2,ASH_COATED_OSMIUM,9990.0,11.0,9987.0,27.0,,,10006.0,11.0,10008.0,27.0,,,9998.0,0.0,16.0,9998.0,109890.0,110066.0,0.0,38.0,38.0,-8.0,0.0,-16.0,sell_aggressor,-2,ASH_COATED_OSMIUM
105200,,,ASH_COATED_OSMIUM,XIRECS,10005.0,3,-2,30015.0,-2,ASH_COATED_OSMIUM,9987.0,20.0,,,,,10005.0,13.0,,,,,9996.0,0.0,18.0,9997.90909090909,199740.0,130065.0,0.21212121212121213,20.0,13.0,9.0,18.0,0.0,buy_aggressor,-2,ASH_COATED_OSMIUM
106000,,,ASH_COATED_OSMIUM,XIRECS,9989.0,4,-2,39956.0,-2,ASH_COATED_OSMIUM,9989.0,14.0,9987.0,23.0,,,10008.0,23.0,,,,,9998.5,0.0,19.0,9996.18918918919,139846.0,230184.0,-0.24324324324324326,37.0,23.0,-9.5,0.0,-19.0,sell_aggressor,-2,ASH_COATED_OSMIUM
107900,,,ASH_COATED_OSMIUM,XIRECS,9991.0,6,-2,59946.0,-2,ASH_COATED_OSMIUM,9991.0,14.0,9988.0,23.0,,,10007.0,14.0,,,,,9999.0,0.0,16.0,9999.0,139874.0,140098.0,0.0,37.0,14.0,-8.0,0.0,-16.0,sell_aggressor,-2,ASH_COATED_OSMIUM
108800,,,ASH_COATED_OSMIUM,XIRECS,9990.0,9,-2,89910.0,-2,ASH_COATED_OSMIUM,9990.0,13.0,9988.0,20.0,,,10000.0,3.0,10006.0,13.0,10009.0,20.0,9995.0,0.0,10.0,9998.125,129870.0,30000.0,0.625,33.0,36.0,-5.0,0.0,-10.0,sell_aggressor,-2,ASH_COATED_OSMIUM
111800,,,ASH_COATED_OSMIUM,XIRECS,9989.0,6,-2,59934.0,-2,ASH_COATED_OSMIUM,9989.0,25.0,,,,,10008.0,10.0,10010.0,25.0,,,9998.5,0.0,19.0,10002.57142857143,249725.0,100080.0,0.42857142857142855,25.0,35.0,-9.5,0.0,-19.0,sell_aggressor,-2,ASH_COATED_OSMIUM
113300,,,ASH_COATED_OSMIUM,XIRECS,9995.0,5,-2,49975.0,-2,ASH_COATED_OSMIUM,9995.0,10.0,9992.0,20.0,,,10013.0,20.0,,,,,10004.0,0.0,18.0,10001.0,99950.0,200260.0,-0.3333333333333333,30.0,20.0,-9.0,0.0,-18.0,sell_aggressor,-2,ASH_COATED_OSMIUM
113500,,,ASH_COATED_OSMIUM,XIRECS,10010.0,4,-2,40040.0,-2,ASH_COATED_OSMIUM,9994.0,15.0,9992.0,20.0,,,10010.0,15.0,10013.0,20.0,,,10002.0,0.0,16.0,10002.0,149910.0,150150.0,0.0,35.0,35.0,8.0,16.0,0.0,buy_aggressor,-2,ASH_COATED_OSMIUM
114100,,,ASH_COATED_OSMIUM,XIRECS,10011.0,10,-2,100110.0,-2,ASH_COATED_OSMIUM,9995.0,13.0,9992.0,26.0,,,10011.0,13.0,10013.0,26.0,,,10003.0,0.0,16.0,10003.0,129935.0,130143.0,0.0,39.0,39.0,8.0,16.0,0.0,buy_aggressor,-2,ASH_COATED_OSMIUM
118900,,,ASH_COATED_OSMIUM,XIRECS,9993.0,3,-2,29979.0,-2,ASH_COATED_OSMIUM,9993.0,11.0,,,,,10009.0,11.0,,,,,10001.0,0.0,16.0,10001.0,109923.0,110099.0,0.0,11.0,11.0,-8.0,0.0,-16.0,sell_aggressor,-2,ASH_COATED_OSMIUM
119100,,,ASH_COATED_OSMIUM,XIRECS,10010.0,4,-2,40040.0,-2,ASH_COATED_OSMIUM,9994.0,13.0,9991.0,22.0,,,10010.0,13.0,10012.0,22.0,,,10002.0,0.0,16.0,10002.0,129922.0,130130.0,0.0,35.0,35.0,8.0,16.0,0.0,buy_aggressor,-2,ASH_COATED_OSMIUM
120000,,,ASH_COATED_OSMIUM,XIRECS,10010.0,8,-2,80080.0,-2,ASH_COATED_OSMIUM,9994.0,12.0,9992.0,22.0,,,10010.0,12.0,10013.0,22.0,,,10002.0,0.0,16.0,10002.0,119928.0,120120.0,0.0,34.0,34.0,8.0,16.0,0.0,buy_aggressor,-2,ASH_COATED_OSMIUM
120900,,,ASH_COATED_OSMIUM,XIRECS,10010.0,6,-2,60060.0,-2,ASH_COATED_OSMIUM,9994.0,14.0,9992.0,29.0,,,10010.0,14.0,10013.0,29.0,,,10002.0,0.0,16.0,10002.0,139916.0,140140.0,0.0,43.0,43.0,8.0,16.0,0.0,buy_aggressor,-2,ASH_COATED_OSMIUM
122900,,,ASH_COATED_OSMIUM,XIRECS,9991.0,3,-2,29973.0,-2,ASH_COATED_OSMIUM,9991.0,27.0,,,,,10009.0,14.0,10012.0,27.0,,,10000.0,0.0,18.0,10002.853658536585,269757.0,140126.0,0.3170731707317073,27.0,41.0,-9.0,0.0,-18.0,sell_aggressor,-2,ASH_COATED_OSMIUM
125200,,,ASH_COATED_OSMIUM,XIRECS,10007.0,3,-2,30021.0,-2,ASH_COATED_OSMIUM,9991.0,10.0,9988.0,25.0,,,10007.0,10.0,10009.0,25.0,,,9999.0,0.0,16.0,9999.0,99910.0,100070.0,0.0,35.0,35.0,8.0,16.0,0.0,buy_aggressor,-2,ASH_COATED_OSMIUM
125400,,,ASH_COATED_OSMIUM,XIRECS,9990.0,3,-2,29970.0,-2,ASH_COATED_OSMIUM,9990.0,11.0,,,,,10006.0,11.0,10009.0,30.0,,,9998.0,0.0,16.0,9998.0,109890.0,110066.0,0.0,11.0,41.0,-8.0,0.0,-16.0,sell_aggressor,-2,ASH_COATED_OSMIUM
133100,,,ASH_COATED_OSMIUM,XIRECS,9991.0,8,-2,79928.0,-2,ASH_COATED_OSMIUM,9991.0,15.0,9988.0,29.0,,,10009.0,29.0,,,,,10000.0,0.0,18.0,9997.136363636364,149865.0,290261.0,-0.3181818181818182,44.0,29.0,-9.0,0.0,-18.0,sell_aggressor,-2,ASH_COATED_OSMIUM
135800,,,ASH_COATED_OSMIUM,XIRECS,9992.0,2,-2,19984.0,-2,ASH_COATED_OSMIUM,9992.0,10.0,9990.0,26.0,,,10008.0,10.0,,,,,10000.0,0.0,16.0,10000.0,99920.0,100080.0,0.0,36.0,10.0,-8.0,0.0,-16.0,sell_aggressor,-2,ASH_COATED_OSMIUM
137500,,,ASH_COATED_OSMIUM,XIRECS,9992.0,5,-2,49960.0,-2,ASH_COATED_OSMIUM,9992.0,12.0,9990.0,25.0,,,10008.0,12.0,10011.0,25.0,,,10000.0,0.0,16.0,10000.0,119904.0,120096.0,0.0,37.0,37.0,-8.0,0.0,-16.0,sell_aggressor,-2,ASH_COATED_OSMIUM
139000,,,ASH_COATED_OSMIUM,XIRECS,9988.0,6,-2,59928.0,-2,ASH_COATED_OSMIUM,9988.0,20.0,,,,,10009.0,20.0,,,,,9998.5,0.0,21.0,9998.5,199760.0,200180.0,0.0,20.0,20.0,-10.5,0.0,-21.0,sell_aggressor,-2,ASH_COATED_OSMIUM
149800,,,ASH_COATED_OSMIUM,XIRECS,10007.0,6,-2,60042.0,-2,ASH_COATED_OSMIUM,9991.0,10.0,,,,,10007.0,10.0,,,,,9999.0,0.0,16.0,9999.0,99910.0,100070.0,0.0,10.0,10.0,8.0,16.0,0.0,buy_aggressor,-2,ASH_COATED_OSMIUM
157000,,,ASH_COATED_OSMIUM,XIRECS,10005.0,3,-2,30015.0,-2,ASH_COATED_OSMIUM,9989.0,14.0,9986.0,30.0,,,10005.0,14.0,,,,,9997.0,0.0,16.0,9997.0,139846.0,140070.0,0.0,44.0,14.0,8.0,16.0,0.0,buy_aggressor,-2,ASH_COATED_OSMIUM
160300,,,ASH_COATED_OSMIUM,XIRECS,10004.0,5,-2,50020.0,-2,ASH_COATED_OSMIUM,9988.0,15.0,,,,,10004.0,15.0,10007.0,30.0,,,9996.0,0.0,16.0,9996.0,149820.0,150060.0,0.0,15.0,45.0,8.0,16.0,0.0,buy_aggressor,-2,ASH_COATED_OSMIUM
161600,,,ASH_COATED_OSMIUM,XIRECS,10005.0,2,-2,20010.0,-2,ASH_COATED_OSMIUM,9989.0,14.0,9987.0,22.0,,,10005.0,14.0,10008.0,22.0,,,9997.0,0.0,16.0,9997.0,139846.0,140070.0,0.0,36.0,36.0,8.0,16.0,0.0,buy_aggressor,-2,ASH_COATED_OSMIUM
173600,,,ASH_COATED_OSMIUM,XIRECS,9992.0,5,-2,49960.0,-2,ASH_COATED_OSMIUM,9992.0,13.0,9989.0,24.0,,,10008.0,13.0,,,,,10000.0,0.0,16.0,10000.0,129896.0,130104.0,0.0,37.0,13.0,-8.0,0.0,-16.0,sell_aggressor,-2,ASH_COATED_OSMIUM
174200,,,ASH_COATED_OSMIUM,XIRECS,10007.0,3,-2,30021.0,-2,ASH_COATED_OSMIUM,9991.0,14.0,,,,,10007.0,14.0,10010.0,28.0,,,9999.0,0.0,16.0,9999.0,139874.0,140098.0,0.0,14.0,42.0,8.0,16.0,0.0,buy_aggressor,-2,ASH_COATED_OSMIUM
